sequence_index,filename,simulation_time_s,relative_time_s,parcel_count,active_count,age_min_s,age_mean_s,age_max_s,velocity_mean_mps,velocity_max_mps,nParticle_sum,represented_mass_kg,rho_min_kgm3,rho_max_kgm3,diameter_min_m,diameter_max_m
49,kinematicCloud_00031725.vtp,1896.0,49.00305666233157,81603,81603,0.010922301560640335,13.833145240538279,27.77996253967285,15.154722156475284,21.129918984259675,718554876.5947266,4.608871796830105e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
50,kinematicCloud_00031818.vtp,1896.99,49.99305666233158,81824,81824,0.011336885392665863,13.870815011572024,28.0200252532959,15.078696455468297,17.740944234933693,720487827.1035156,4.6212699049980503e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
51,kinematicCloud_00031910.vtp,1898.0,51.00305666233157,80304,80304,0.010084198787808418,13.611411874661185,27.450281143188477,15.014246077193317,17.282649281763042,707014854.3193359,4.5348531172104035e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
52,kinematicCloud_00032011.vtp,1899.0,52.00305666233157,80684,80684,0.009515181183815002,13.67718864846599,27.843732833862305,15.019129104041413,17.593668021482394,710305822.5175781,4.555961665780867e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
53,kinematicCloud_00032115.vtp,1900.0,53.00305666233157,79194,79194,0.010098435916006565,13.425546333340721,27.003938674926758,14.930090423750226,21.06918171268435,697255039.8564453,4.472252841176537e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
54,kinematicCloud_00032217.vtp,1900.99,53.99305666233158,79866,79866,0.009607257321476936,13.54575021280097,27.17548370361328,15.01910824484219,19.837877179402355,703297173.3271484,4.511007596662683e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
55,kinematicCloud_00032323.vtp,1902.0,55.00305666233157,81100,81100,0.009447729215025902,13.757700049341272,27.63089942932129,15.07347464345178,19.654595975648377,714239527.7441406,4.58119278405212e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
56,kinematicCloud_00032429.vtp,1902.99,55.99305666233158,79242,79242,0.009510033763945103,13.446572549128119,27.21554946899414,15.08104860253078,20.111117363259005,698004905.2119141,4.4770625410349773e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
57,kinematicCloud_00032533.vtp,1904.0,57.00305666233157,77963,77963,0.010363497771322727,13.230619296148417,26.569156646728516,15.08004029249316,19.97536367115354,686822954.6191406,4.4053405634947037e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
58,kinematicCloud_00032631.vtp,1905.0,58.00305666233157,78106,78106,0.009593740105628967,13.259335733897816,26.7419490814209,15.000116801872057,17.65132066908257,688188627.1435547,4.414100102656565e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
59,kinematicCloud_00032735.vtp,1905.99,58.99305666233158,79250,79250,0.009769746102392673,13.457016502968509,26.99888038635254,14.910641497030593,18.48724215157792,698410892.7304688,4.4796665793416956e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
60,kinematicCloud_00032838.vtp,1906.99,59.99305666233158,79853,79853,0.010249918326735497,13.56362379616493,27.48090934753418,15.065082596646501,21.577435319600337,703870888.9052734,4.514687456939957e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
